Prompt;Number of parameters;distance;total operation time;PTO operation time;idle time;driving time;stops;stops with PTO engaged;vehicle speed;engine speed;axle 1 load;axle 2 load;axle 3 load;payload;total fuel consumption;compaction cycles;lifter cycles;refulling time
"Input text:
Textual context: A vehicle typically operates for 2 to 10 hours each day.
On a typical day, the load on axle 3 ranges from 4500 to 7500 kg.
";2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Input text:
Textual context: On a typical day, a vehicle's speed varies between 0 and 80 km/h.
It is uncommon for a vehicle to perform fewer than 50 or more than 300 compaction cycles in a day.
";2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
"Input text:
Textual context: A vehicle's PTO operates for 0.2 to 5 hours in a typical day.
It is unusual for a vehicle to operate at speeds outside the range of 0 to 80 km/h in a day.
";2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Input text:
Textual context: In a typical day, a vehicle makes 20 to 250 stops with the PTO engaged.
It is rare for a vehicle to operate outside the speed range of 0 to 80 km/h in a typical day.
";2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"Input text:
Textual context: It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
On a normal day, a vehicle’s speed ranges from 0 to 80 km/h.
";2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Input text:
Textual context: It is uncommon for a vehicle to spend less than 1 hour or more than 5 hours driving in a day.
It is unlikely for a vehicle to make fewer than 20 stops or more than 300 stops in a day.
";2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"Input text:
Textual context: On a usual day, a vehicle travels between 20 and 110 km.
It is not common for axle 1 to carry less than 2000 kg or more than 8000 kg in a day.
";2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Input text:
Textual context: It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
A vehicle's payload varies from 0 to 11000 kg in a typical day.
";2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Input text:
Textual context: On a normal day, a vehicle’s speed ranges from 0 to 80 km/h.
In a typical day, a vehicle's payload ranges from 0 to 11000 kg.
";2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
"Input text:
Textual context: It is not typical for a vehicle to make fewer than 20 stops with the PTO engaged or exceed 250 stops in a day.
Typically, a vehicle consumes 10 to 100 dm³ of fuel in a day.
";2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
"Input text:
Textual context: In a typical day, a vehicle's total operational time ranges from 2 to 10 hours.
It is unusual for a vehicle to consume less than 10 dm³ or more than 100 dm³ of fuel in a day.
";2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Input text:
Textual context: It is not typical for the PTO to be engaged for under 0.2 hours or over 5 hours in a day.
On a typical day, the load on axle 1 ranges from 2000 to 8000 kg.
";2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Input text:
Textual context: In a typical day, a vehicle makes 20 to 300 stops.
A payload outside the range of 0 to 11000 kg in a day is unlikely for a vehicle.
";2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"Input text:
Textual context: It is unlikely for a vehicle to operate for less than 2 hours or more than 10 hours in a typical day.
In a typical day, a vehicle idles for between 1 and 5 hours.
";2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Input text:
Textual context: On a usual day, a vehicle travels between 20 and 110 km.
It is infrequent for a vehicle to operate for fewer than 2 hours or more than 10 hours in a typical day.
";2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Input text:
Textual context: During a typical day, a vehicle covers a distance of 20 to 110 km.
It is infrequent for a vehicle's engine speed to fall outside the range of 550 to 1600 rpm in a day.
";2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Input text:
Textual context: In a typical day, a vehicle completes 50 to 300 lifter cycles.
On a usual day, refueling takes between 0.08 and 0.2 hours.
";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"Input text:
Textual context: In a typical day, a vehicle's speed ranges from 0 to 80 km/h.
In a typical day, a vehicle's engine speed is between 550 and 1600 rpm.
";2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"Input text:
Textual context: A vehicle idling for less than 1 hour or more than 5 hours in a day is not common.
It is uncommon for a vehicle to spend less than 1 hour or more than 5 hours driving in a day.
";2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
"Input text:
Textual context: It is rare for a vehicle to consume less than 10 dm³ or more than 100 dm³ of fuel in a day.
It is uncommon for a vehicle to perform fewer than 50 or more than 300 compaction cycles in a day.
";2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"Input text:
Textual context: It is uncommon for a vehicle to travel less than 20 km or more than 110 km in a typical day.
In a typical day, a vehicle spends 1 to 5 hours driving.
";2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Input text:
Textual context: It is rare for a vehicle to idle for less than 1 hour or more than 5 hours in a day.
On a normal day, a vehicle performs 50 to 300 compaction cycles.
";2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
